session_id,label
,Normal
20000,Benign
20002,Benign
20004,Benign
20006,Benign
20008,Malicious
20010,Malicious
20012,Benign
20014,Benign
20016,Malicious
20018,Benign
20020,Malicious
20022,Malicious
20024,Malicious
20026,Malicious
20028,Benign
20030,Benign
20032,Benign
20034,Benign
20036,Benign
20038,Malicious
20040,Malicious
20042,Malicious
20044,Malicious
20046,Malicious
20048,Malicious
20050,Malicious
20052,Malicious
20054,Malicious
20056,Malicious
20058,Malicious
20060,Malicious
20062,Malicious
20064,Malicious
20066,Benign
20068,Benign
