session_id,label
,Normal
20000,Malicious
20002,Benign
20004,Benign
20006,Malicious
20008,Malicious
20010,Malicious
20012,Benign
20014,Benign
20016,Benign
20018,Benign
20020,Benign
20022,Benign
20024,Benign
20026,Benign
20028,Malicious
20030,Malicious
20032,Malicious
20034,Malicious
20036,Malicious
20038,Malicious
20040,Malicious
20042,Malicious
20044,Malicious
20046,Malicious
20048,Malicious
20050,Malicious
20052,Malicious
20054,Malicious
20056,Benign
20058,Benign
20060,Benign
20062,Benign
20064,Benign
20066,Benign
