session_id,label
,Normal
20000,Benign
20002,Benign
20004,Malicious
20006,Malicious
20008,Benign
20010,Benign
20012,Benign
20014,Benign
20016,Benign
20018,Benign
20020,Benign
20022,Benign
20024,Malicious
20026,Malicious
20028,Malicious
20030,Benign
20032,Malicious
20034,Malicious
20036,Benign
20038,Benign
20040,Benign
20042,Malicious
20044,Malicious
20046,Benign
20048,Benign
20050,Benign
20052,Malicious
20054,Benign
20056,Benign
20058,Malicious
20060,Malicious
20062,Benign
20064,Malicious
20066,Benign
20068,Benign
20070,Malicious
