Metric,In_Distribution_Re_Recognition,Held_Out_Zero_Day_Generalization,Delta
Total_Samples,1878,7267,+5389
Malicious_Samples,384,2480,+2096
Normal_Samples,1494,4787,+3293
Precision,1.0000,1.0000,0.0000
Recall,0.9974,0.5016,-0.4958
F1_Score,0.9987,0.6681,-0.3306
FPR,0.0000,0.0000,0.0000
FNR,0.0026,0.4984,+0.4958
Specificity,1.0000,1.0000,0.0000
AUROC,0.9999,0.8725,-0.1274
AUPRC,0.9997,0.8309,-0.1688
True_Positives,383,1244,+861
True_Negatives,1494,4787,+3293
False_Positives,0,0,0
False_Negatives,1,1236,+1235
